Date,Day Number,New Cases,Cum Cases,Confirmed,Probable,Suspected,Deaths,OB #,Region
7-May-14,,1,236,129,49,58,158,15,Guinea
10-May-14,,,233,129,49,55,157,15,Guinea
12-May-14,,15,248,138,67,43,171,15,Guinea
23-May-14,,10,258,146,67,67,174,15,Guinea
27-May-14,,23,281,163,66,44,186,15,Guinea
28-May-14,,10,291,172,71,48,193,15,Guinea
1-Jun-14,,37,328,193,80,55,208,15,Guinea
3-Jun-14,,16,344,207,81,56,215,15,Guinea
5-Jun-14,,7,351,210,83,58,226,15,Guinea
16-Jun-14,,47,398,254,88,56,264,15,Guinea
18-Jun-14,,,390,258,88,44,267,15,Guinea
20-Jun-14,,,390,260,87,43,270,15,Guinea
30-Jun-14,,23,413,293,88,32,303,15,Guinea
8-Jul-14,110, ,409,296,96,17,309,15,Guinea
12-Jul-14,114, ,406,297,92,17,304,15,Guinea
14-Jul-14,116,5,411,301,95,15,310,15,Guinea
17-Jul-14,119,0,410,301,95,14,310,15,Guinea
,,,,,,,,,
27-Mar-14,,,,,,8,6,15,Liberia
28-Mar-14,,,,2,,3,3,15,Liberia
29-Mar-14,,,,2,,7,,15,Liberia
31-Mar-14,,,8,2,,,2,15,Liberia
1-Apr-14,,,8,2,,,5,15,Liberia
4-Apr-14,,4,2,,,18,7,15,Liberia
7-Apr-14,,1,,5,16,,10,15,Liberia
10-Apr-14,,,,5,,20,,15,Liberia
11-Apr-14,,21,26,6,20,,13,15,Liberia
16-Apr-14,,1,27,,,,13,15,Liberia
17-Apr-14,,0,,,,,,15,Liberia
21-Apr-14,,7,34,6,2,26,6,15,Liberia
24-Apr-14,,1,35,6,2,27,,15,Liberia
2-May-14,,,13,6,2,5,11,15,Liberia
3-May-14,,,13,6,2,5,11,15,Liberia
5-May-14,,,13,6,2,5,11,15,Liberia
10-May-14,,,12,6,2,4,11,15,Liberia
12-May-14,,,12,6,2,4,11,15,Liberia
23-May-14,,0,,,,,,15,Liberia/SL
27-May-14,,0,,,,,,15,Liberia
29-May-14,,1,,,,,,15,Liberia
1-Jun-14,,,1,,,,,15,Liberia
5-Jun-14,,0,,,,,,15,Liberia
5-Jun-14,,0,,,,,,15,Liberia
16-Jun-14,,21,33,18,8,7,24,15,Liberia
19-Jun-14,,8,41,24,9,8,25,15,Liberia
22-Jun-14,,10,51,34,10,7,34,15,Liberia
30-Jun-14,,56,107,52,21,34,65,15,Liberia
8-Jul-14,110,35,142,70,32,40,88,15,Liberia
12-Jul-14,114,30,172,70,41,61,105,15,Liberia
14-Jul-14,116,2,174,70,42,62,106,15,Liberia
17-Jul-14,119,22,196,76,56,64,116,15,Liberia
,,,,,,,,,
27-Mar-14,,,,,,6,5,15,Sierra Leone
28-Mar-14,,,,,,2,2,15,Sierra Leone
31-Mar-14,,,,,,,2,15,Sierra Leone
1-Apr-14,,,,,,,2,15,Sierra Leone
4-Apr-14,,,,,,,2,15,Sierra Leone
7-Apr-14,,,,,,,2,15,Sierra Leone
9-Apr-14,,,,,, ,2,15,Sierra Leone
